Time,Old_state,New_state
51750000,IDLE,RX_CTRL
51767856,RX_CTRL,IDLE
51982141,IDLE,TX
51999997,TX,IDLE
52000000,IDLE,RX_CTRL
52017856,RX_CTRL,IDLE
52232141,IDLE,TX
52249997,TX,IDLE
52250000,IDLE,RX_CTRL
52267856,RX_CTRL,IDLE
52482141,IDLE,TX
52499997,TX,IDLE
52500000,IDLE,RX_CTRL
52517856,RX_CTRL,IDLE
52732141,IDLE,TX
52749997,TX,IDLE
52750000,IDLE,RX_CTRL
52767856,RX_CTRL,IDLE
52982141,IDLE,TX
52999997,TX,IDLE
53000000,IDLE,RX_CTRL
53017856,RX_CTRL,IDLE
53232141,IDLE,TX
53249997,TX,IDLE
53250000,IDLE,RX_CTRL
53267856,RX_CTRL,IDLE
53482141,IDLE,TX
53499997,TX,IDLE
53500000,IDLE,RX_CTRL
53517856,RX_CTRL,IDLE
53732141,IDLE,TX
53749997,TX,IDLE
53750000,IDLE,RX_CTRL
53767856,RX_CTRL,IDLE
53982141,IDLE,TX
53999997,TX,IDLE
54000000,IDLE,RX_CTRL
54017856,RX_CTRL,IDLE
54232141,IDLE,TX
54249997,TX,IDLE
54250000,IDLE,RX_CTRL
54267856,RX_CTRL,IDLE
54482141,IDLE,TX
54499997,TX,IDLE
54500000,IDLE,RX_CTRL
54517856,RX_CTRL,IDLE
54732141,IDLE,TX
54749997,TX,IDLE
54750000,IDLE,RX_CTRL
54767856,RX_CTRL,IDLE
54982141,IDLE,TX
54999997,TX,IDLE
55000000,IDLE,RX_CTRL
55017856,RX_CTRL,IDLE
55232141,IDLE,TX
55249997,TX,IDLE
55250000,IDLE,RX_CTRL
55267856,RX_CTRL,IDLE
55482141,IDLE,TX
55499997,TX,IDLE
55500000,IDLE,RX_CTRL
55517856,RX_CTRL,IDLE
55732141,IDLE,TX
55749997,TX,IDLE
55750000,IDLE,RX_CTRL
55767856,RX_CTRL,IDLE
55982141,IDLE,TX
55999997,TX,IDLE
56000000,IDLE,RX_CTRL
56017856,RX_CTRL,IDLE
56232141,IDLE,TX
56249997,TX,IDLE
56250000,IDLE,RX_CTRL
56267856,RX_CTRL,IDLE
56482141,IDLE,TX
56499997,TX,IDLE
56500000,IDLE,RX_CTRL
56517856,RX_CTRL,IDLE
56732141,IDLE,TX
56749997,TX,IDLE
56750000,IDLE,RX_CTRL
56767856,RX_CTRL,IDLE
56982141,IDLE,TX
56999997,TX,IDLE
57000000,IDLE,RX_CTRL
57017856,RX_CTRL,IDLE
57232141,IDLE,TX
57249997,TX,IDLE
57250000,IDLE,RX_CTRL
57267856,RX_CTRL,IDLE
57482141,IDLE,TX
57499997,TX,IDLE
57500000,IDLE,RX_CTRL
57517856,RX_CTRL,IDLE
57732141,IDLE,TX
57749997,TX,IDLE
57750000,IDLE,RX_CTRL
57767856,RX_CTRL,IDLE
57982141,IDLE,TX
57999997,TX,IDLE
58000000,IDLE,RX_CTRL
58017856,RX_CTRL,IDLE
58232141,IDLE,TX
58249997,TX,IDLE
58250000,IDLE,RX_CTRL
58267856,RX_CTRL,IDLE
58482141,IDLE,TX
58499997,TX,IDLE
58500000,IDLE,RX_CTRL
58517856,RX_CTRL,IDLE
58732141,IDLE,TX
58749997,TX,IDLE
58750000,IDLE,RX_CTRL
58767856,RX_CTRL,IDLE
58982141,IDLE,TX
58999997,TX,IDLE
59000000,IDLE,RX_CTRL
59017856,RX_CTRL,IDLE
59232141,IDLE,TX
59249997,TX,IDLE
59250000,IDLE,RX_CTRL
59267856,RX_CTRL,IDLE
59482141,IDLE,TX
59499997,TX,IDLE
59500000,IDLE,RX_CTRL
59517856,RX_CTRL,IDLE
59732141,IDLE,TX
59749997,TX,IDLE
59750000,IDLE,RX_CTRL
59767856,RX_CTRL,IDLE
59982141,IDLE,TX
59999997,TX,IDLE
